data,time,title,desc,price
24 ИЮНЬ,19:00,БОЛЬШОЙ ДЖАЗОВЫЙ ОРКЕСТР П/У ПЕТРА ВОСТОКОВА,"БОЛЬШОЙ ДЖАЗОВЫЙ ОРКЕСТР П/У ПЕТРА ВОСТОКОВА Играет ""Beatles"": к 80-летию Пола Маккартни",от 1500р
24 ИЮНЬ,20:30,MISHA FOTCHENKOV QUARTET,MISHA FOTCHENKOV QUARTET Cовременный джаз и нео-соул,от 1000р
24 ИЮНЬ,22:00,БОЛЬШОЙ ДЖАЗОВЫЙ ОРКЕСТР П/У ПЕТРА ВОСТОКОВА,"БОЛЬШОЙ ДЖАЗОВЫЙ ОРКЕСТР П/У ПЕТРА ВОСТОКОВА Играет ""Beatles"": к 80-летию Пола Маккартни",от 1500р
25 ИЮНЬ,14:00,ДЖАЗОВЫЙ БРАНЧ С МАРИЕЙ СУРОВЦЕВОЙ И ТРИО,ДЖАЗОВЫЙ БРАНЧ С МАРИЕЙ СУРОВЦЕВОЙ И ТРИО,вход свободный
25 ИЮНЬ,15:00,ШКОЛА ТАНЦЕВ РИЧАРДА ХЬЮМА,ШКОЛА ТАНЦЕВ РИЧАРДА ХЬЮМА Уроки танцев Jive и Rock-n-Roll с преподавателем из Великобритании,вход свободный
25 ИЮНЬ,19:00,АНАСТАСИЯ ЛЮТОВА И ЛЮТЫЙ БЭНД,АНАСТАСИЯ ЛЮТОВА И ЛЮТЫЙ БЭНД Новая программа в расширенном составе,от 1500р
25 ИЮНЬ,20:30,SPONTANEOUS JAZZ BAND,SPONTANEOUS JAZZ BAND «MONK» — посвящение Телониусу Монку,от 1000р
25 ИЮНЬ,22:00,АНАСТАСИЯ ЛЮТОВА И ЛЮТЫЙ БЭНД,АНАСТАСИЯ ЛЮТОВА И ЛЮТЫЙ БЭНД Новая программа в расширенном составе,от 1500р
26 ИЮНЬ,14:00,ДЖАЗОВЫЙ БРАНЧ С FULL MOON JAZZ BAND,ДЖАЗОВЫЙ БРАНЧ С FULL MOON JAZZ BAND,вход свободный
26 ИЮНЬ,15:00,ВОСКРЕСНЫЙ БРАНЧ С ДЖАЗОВЫМ АНСАМБЛЕМ ПЕТРА ВОСТОКОВА,ВОСКРЕСНЫЙ БРАНЧ С ДЖАЗОВЫМ АНСАМБЛЕМ ПЕТРА ВОСТОКОВА Каждое воскресенье,вход свободный
26 ИЮНЬ,21:00,"HELLO, SATCHMO!","HELLO, SATCHMO! Посвящение самому популярному и именитому артисту джаза всех времен – Луи Армстронгу",от 2000р
27 ИЮНЬ,20:00,КВАРТЕТ АЛЕКСЕЯ ЧЕРЕМИЗОВА,КВАРТЕТ АЛЕКСЕЯ ЧЕРЕМИЗОВА,от 900р
28 ИЮНЬ,20:00,JAM SESSION С ЯКОВОМ ОКУНЕМ,JAM SESSION С ЯКОВОМ ОКУНЕМ,вход свободный
28 ИЮНЬ,20:30,ДЖАЗОВЫЕ СТАНДАРТЫ С СЕРГЕЕМ БАУЛИНЫМ,ДЖАЗОВЫЕ СТАНДАРТЫ С СЕРГЕЕМ БАУЛИНЫМ,вход свободный
29 ИЮНЬ,20:00,ЛЕСАНДРА НАДЕЖДИНА И ГРУППА BASKERVILLE’S CAT,"ЛЕСАНДРА НАДЕЖДИНА И ГРУППА BASKERVILLE’S CAT Александр Эйдельман представляет ""Джаз-арт клуб""",вход свободный
30 ИЮНЬ,20:00,ТРИО ДАНИИЛА КРАМЕРА,ТРИО ДАНИИЛА КРАМЕРА Знаменитое фортепианное трио Народного артиста России,от 1200р
01 ИЮЛЬ,21:00,АНСАМБЛЬ АЛЕКСЕЯ КАЛЯПИЧЕВА,"АНСАМБЛЬ АЛЕКСЕЯ КАЛЯПИЧЕВА Авторские композиции в жанрах jazz, fusion, smooth jazz",от 1200р
03 ИЮЛЬ,21:00,NAREK,NAREK Авторский экспериментальный проект в стиле этно фьюжн,от 1500р
04 ИЮЛЬ,20:00,GROOVE FACTORY,GROOVE FACTORY Современный джаз,от 900р
07 ИЮЛЬ,20:00,ПРОЕКТ «ДВА РОЯЛЯ»,ПРОЕКТ «ДВА РОЯЛЯ» Ваагн Айрапетян и Яков Окунь,от 1200р
08 ИЮЛЬ,21:00,"АНСАМБЛЬ ""МЕЛОДИЯ"" ГЕОРГИЯ ГАРАНЯНА П/У СЕРГЕЯ БОГДАНОВА","АНСАМБЛЬ ""МЕЛОДИЯ"" ГЕОРГИЯ ГАРАНЯНА П/У СЕРГЕЯ БОГДАНОВА Презентация нового альбома «Советский Джаз». Солистка – Армине Саркисян",от 1500р
09 ИЮЛЬ,21:00,CIGAR HALL,CIGAR HALL Джаз и соул,от 1200р
17 ИЮЛЬ,13:00,"""ДЖАЗ НА МОСКВЕ-РЕКЕ""","""ДЖАЗ НА МОСКВЕ-РЕКЕ"" 24-й джазовый фестиваль, посвященный 100-летию Российского джаза",от 3000р
